servicedate,line,estimated_boardings
2020-07-10,Middleborough/Lakeville,944
2020-07-10,Needham,548
2020-07-10,Newburyport/Rockport,1418
2020-07-10,Providence/Stoughton,2269
2020-07-13,Fairmount,293
2020-07-13,Fitchburg,534
2020-07-13,Framingham/Worcester,1271
2020-07-13,Franklin/Foxboro,1243
2020-07-13,Greenbush,281
2020-07-13,Haverhill,635
2020-07-13,Kingston,727
2020-07-13,Lowell,870
2020-07-13,Middleborough/Lakeville,826
2020-07-13,Needham,543
2020-07-13,Newburyport/Rockport,1504
2020-07-13,Providence/Stoughton,2514
2020-07-14,Fairmount,366
2020-07-14,Fitchburg,573
2020-07-14,Framingham/Worcester,1325
2020-07-14,Franklin/Foxboro,1299
2020-07-14,Greenbush,334
2020-07-14,Haverhill,747
2020-07-14,Kingston,786
2020-07-14,Lowell,931
2020-07-14,Middleborough/Lakeville,995
2020-07-14,Needham,557
2020-07-14,Newburyport/Rockport,1555
2020-07-14,Providence/Stoughton,2601
2020-07-15,Fairmount,479
2020-07-15,Fitchburg,551
2020-07-15,Framingham/Worcester,1261
2020-07-15,Franklin/Foxboro,1519
2020-07-15,Greenbush,341
2020-07-15,Haverhill,705
2020-07-15,Kingston,808
2020-07-15,Lowell,1037
2020-07-15,Middleborough/Lakeville,914
2020-07-15,Needham,639
2020-07-15,Newburyport/Rockport,1568
2020-07-15,Providence/Stoughton,2813
2020-07-16,Fairmount,427
2020-07-16,Fitchburg,583
2020-07-16,Framingham/Worcester,1568
2020-07-16,Franklin/Foxboro,1361
2020-07-16,Greenbush,338
2020-07-16,Haverhill,735
2020-07-16,Kingston,774
2020-07-16,Lowell,946
2020-07-16,Middleborough/Lakeville,972
2020-07-16,Needham,706
2020-07-16,Newburyport/Rockport,1599
2020-07-16,Providence/Stoughton,2664
2020-07-17,Fairmount,386
2020-07-17,Fitchburg,587
2020-07-17,Framingham/Worcester,1219
2020-07-17,Franklin/Foxboro,1426
2020-07-17,Greenbush,297
2020-07-17,Haverhill,691
2020-07-17,Kingston,799
2020-07-17,Lowell,847
2020-07-17,Middleborough/Lakeville,962
2020-07-17,Needham,556
2020-07-17,Newburyport/Rockport,1429
2020-07-17,Providence/Stoughton,2638
2020-07-20,Fairmount,349
2020-07-20,Fitchburg,570
2020-07-20,Framingham/Worcester,1361
2020-07-20,Franklin/Foxboro,1515
2020-07-20,Greenbush,274
2020-07-20,Haverhill,619
2020-07-20,Kingston,737
2020-07-20,Lowell,893
2020-07-20,Middleborough/Lakeville,857
2020-07-20,Needham,795
2020-07-20,Newburyport/Rockport,1354
2020-07-20,Providence/Stoughton,2737
2020-07-21,Fairmount,409
2020-07-21,Fitchburg,606
2020-07-21,Framingham/Worcester,1540
2020-07-21,Franklin/Foxboro,1474
2020-07-21,Greenbush,367
2020-07-21,Haverhill,651
2020-07-21,Kingston,806
2020-07-21,Lowell,879
2020-07-21,Middleborough/Lakeville,945
2020-07-21,Needham,623
2020-07-21,Newburyport/Rockport,1505
2020-07-21,Providence/Stoughton,2944
2020-07-22,Fairmount,411
2020-07-22,Fitchburg,536
2020-07-22,Framingham/Worcester,1447
2020-07-22,Franklin/Foxboro,1343
2020-07-22,Greenbush,317
2020-07-22,Haverhill,642
2020-07-22,Kingston,820
2020-07-22,Lowell,838
2020-07-22,Middleborough/Lakeville,1024
2020-07-22,Needham,596
2020-07-22,Newburyport/Rockport,1394
2020-07-22,Providence/Stoughton,2939
2020-07-23,Fairmount,443
2020-07-23,Fitchburg,610
2020-07-23,Framingham/Worcester,1506
2020-07-23,Franklin/Foxboro,1417
2020-07-23,Greenbush,295
2020-07-23,Haverhill,655
2020-07-23,Kingston,642
2020-07-23,Lowell,842
2020-07-23,Middleborough/Lakeville,963
2020-07-23,Needham,656
2020-07-23,Newburyport/Rockport,1366
2020-07-23,Providence/Stoughton,3186
2020-07-24,Fairmount,411
2020-07-24,Fitchburg,524
2020-07-24,Framingham/Worcester,1586
2020-07-24,Franklin/Foxboro,1326
2020-07-24,Greenbush,297
2020-07-24,Haverhill,573
2020-07-24,Kingston,677
2020-07-24,Lowell,824
2020-07-24,Middleborough/Lakeville,830
2020-07-24,Needham,584
2020-07-24,Newburyport/Rockport,1451
2020-07-24,Providence/Stoughton,2883
2020-07-27,Fairmount,345
2020-07-27,Fitchburg,575
2020-07-27,Framingham/Worcester,1443
2020-07-27,Franklin/Foxboro,1275
2020-07-27,Greenbush,294
2020-07-27,Haverhill,685
2020-07-27,Kingston,617
2020-07-27,Lowell,920
2020-07-27,Middleborough/Lakeville,862
2020-07-27,Needham,654
2020-07-27,Newburyport/Rockport,1379
2020-07-27,Providence/Stoughton,2767
2020-07-28,Fairmount,370
2020-07-28,Fitchburg,617
2020-07-28,Framingham/Worcester,1508
2020-07-28,Franklin/Foxboro,1417
2020-07-28,Greenbush,295
2020-07-28,Haverhill,656
2020-07-28,Kingston,702
2020-07-28,Lowell,921
2020-07-28,Middleborough/Lakeville,1025
2020-07-28,Needham,501
2020-07-28,Newburyport/Rockport,1523
2020-07-28,Providence/Stoughton,2844
2020-07-29,Fairmount,380
2020-07-29,Fitchburg,597
