servicedate,line,estimated_boardings
2021-10-05,Needham,2988
2021-10-05,Newburyport/Rockport,8222
2021-10-05,Providence/Stoughton,9808
2021-10-06,Fairmount,1475
2021-10-06,Fitchburg,3601
2021-10-06,Framingham/Worcester,6241
2021-10-06,Franklin/Foxboro,4075
2021-10-06,Greenbush,2049
2021-10-06,Haverhill,2703
2021-10-06,Kingston,2760
2021-10-06,Lowell,5534
2021-10-06,Middleborough/Lakeville,3043
2021-10-06,Needham,2959
2021-10-06,Newburyport/Rockport,8808
2021-10-06,Providence/Stoughton,9833
2021-10-07,Fairmount,1431
2021-10-07,Fitchburg,3354
2021-10-07,Framingham/Worcester,5405
2021-10-07,Franklin/Foxboro,3908
2021-10-07,Greenbush,2092
2021-10-07,Haverhill,2644
2021-10-07,Kingston,2752
2021-10-07,Lowell,5238
2021-10-07,Middleborough/Lakeville,3436
2021-10-07,Needham,2975
2021-10-07,Newburyport/Rockport,8679
2021-10-07,Providence/Stoughton,10188
2021-10-08,Fairmount,1056
2021-10-08,Fitchburg,3446
2021-10-08,Framingham/Worcester,5984
2021-10-08,Franklin/Foxboro,3703
2021-10-08,Greenbush,1802
2021-10-08,Haverhill,2686
2021-10-08,Kingston,2362
2021-10-08,Lowell,4334
2021-10-08,Middleborough/Lakeville,3173
2021-10-08,Needham,2460
2021-10-08,Newburyport/Rockport,9984
2021-10-08,Providence/Stoughton,10097
2021-10-09,Fairmount,387
2021-10-09,Fitchburg,1049
2021-10-09,Framingham/Worcester,4330
2021-10-09,Franklin/Foxboro,1101
2021-10-09,Greenbush,278
2021-10-09,Haverhill,888
2021-10-09,Kingston,471
2021-10-09,Lowell,1300
2021-10-09,Middleborough/Lakeville,912
2021-10-09,Needham,227
2021-10-09,Newburyport/Rockport,6643
2021-10-09,Providence/Stoughton,5004
2021-10-10,Fairmount,791
2021-10-10,Fitchburg,1258
2021-10-10,Framingham/Worcester,4390
2021-10-10,Franklin/Foxboro,645
2021-10-10,Greenbush,237
2021-10-10,Haverhill,893
2021-10-10,Kingston,354
2021-10-10,Lowell,1189
2021-10-10,Middleborough/Lakeville,856
2021-10-10,Needham,503
2021-10-10,Newburyport/Rockport,4090
2021-10-10,Providence/Stoughton,4239
2021-10-11,Fairmount,965
2021-10-11,Fitchburg,2787
2021-10-11,Framingham/Worcester,12925
2021-10-11,Franklin/Foxboro,2373
2021-10-11,Greenbush,887
2021-10-11,Haverhill,2917
2021-10-11,Kingston,1162
2021-10-11,Lowell,4362
2021-10-11,Middleborough/Lakeville,1642
2021-10-11,Needham,1071
2021-10-11,Newburyport/Rockport,9258
2021-10-11,Providence/Stoughton,7596
2021-10-12,Fairmount,1610
2021-10-12,Fitchburg,3282
2021-10-12,Framingham/Worcester,6165
2021-10-12,Franklin/Foxboro,4075
2021-10-12,Greenbush,1485
2021-10-12,Haverhill,3084
2021-10-12,Kingston,2094
2021-10-12,Lowell,4991
2021-10-12,Middleborough/Lakeville,3053
2021-10-12,Needham,2789
2021-10-12,Newburyport/Rockport,10298
2021-10-12,Providence/Stoughton,9626
2021-10-13,Fairmount,1614
2021-10-13,Fitchburg,3002
2021-10-13,Framingham/Worcester,5831
2021-10-13,Franklin/Foxboro,4638
2021-10-13,Greenbush,1680
2021-10-13,Haverhill,2660
2021-10-13,Kingston,1966
2021-10-13,Lowell,7115
2021-10-13,Middleborough/Lakeville,2773
2021-10-13,Needham,2884
2021-10-13,Newburyport/Rockport,10423
2021-10-13,Providence/Stoughton,10681
2021-10-14,Fairmount,1734
2021-10-14,Fitchburg,3227
2021-10-14,Framingham/Worcester,5633
2021-10-14,Franklin/Foxboro,4513
2021-10-14,Greenbush,1538
2021-10-14,Haverhill,3349
2021-10-14,Kingston,2132
2021-10-14,Lowell,4687
2021-10-14,Middleborough/Lakeville,3464
2021-10-14,Needham,2885
2021-10-14,Newburyport/Rockport,10241
2021-10-14,Providence/Stoughton,10377
2021-10-15,Fairmount,1326
2021-10-15,Fitchburg,3360
2021-10-15,Framingham/Worcester,5679
2021-10-15,Franklin/Foxboro,3584
2021-10-15,Greenbush,1434
2021-10-15,Haverhill,3066
2021-10-15,Kingston,1884
2021-10-15,Lowell,4121
2021-10-15,Middleborough/Lakeville,3565
2021-10-15,Needham,2565
2021-10-15,Newburyport/Rockport,10106
2021-10-15,Providence/Stoughton,9484
2021-10-16,Fairmount,513
2021-10-16,Fitchburg,1334
2021-10-16,Framingham/Worcester,3631
2021-10-16,Franklin/Foxboro,1089
2021-10-16,Greenbush,400
2021-10-16,Haverhill,1874
2021-10-16,Kingston,423
2021-10-16,Lowell,1981
2021-10-16,Middleborough/Lakeville,992
2021-10-16,Needham,517
2021-10-16,Newburyport/Rockport,14736
2021-10-16,Providence/Stoughton,3313
2021-10-17,Fairmount,484
2021-10-17,Fitchburg,1605
2021-10-17,Framingham/Worcester,2892
2021-10-17,Franklin/Foxboro,1019
2021-10-17,Greenbush,283
2021-10-17,Haverhill,1094
2021-10-17,Kingston,501
2021-10-17,Lowell,1151
2021-10-17,Middleborough/Lakeville,1009
2021-10-17,Needham,367
2021-10-17,Newburyport/Rockport,9560
2021-10-17,Providence/Stoughton,3624
2021-10-18,Fairmount,1251
2021-10-18,Fitchburg,3429
2021-10-18,Framingham/Worcester,5836
2021-10-18,Franklin/Foxboro,4740
2021-10-18,Greenbush,1615
2021-10-18,Haverhill,3006
2021-10-18,Kingston,2550
2021-10-18,Lowell,3708
2021-10-18,Middleborough/Lakeville,2841
2021-10-18,Needham,2202
2021-10-18,Newburyport/Rockport,10543
2021-10-18,Providence/Stoughton,9833
2021-10-19,Fairmount,1457
2021-10-19,Fitchburg,3597
2021-10-19,Framingham/Worcester,5959
2021-10-19,Franklin/Foxboro,4471
2021-10-19,Greenbush,1478
2021-10-19,Haverhill,2698
2021-10-19,Kingston,1611
2021-10-19,Lowell,4395
2021-10-19,Middleborough/Lakeville,2434
2021-10-19,Needham,2760
2021-10-19,Newburyport/Rockport,9386
2021-10-19,Providence/Stoughton,10642
2021-10-20,Fairmount,1525
2021-10-20,Fitchburg,3595
2021-10-20,Framingham/Worcester,5501
2021-10-20,Franklin/Foxboro,4289
2021-10-20,Greenbush,1403
2021-10-20,Haverhill,2626
2021-10-20,Kingston,2300
2021-10-20,Lowell,3980
2021-10-20,Middleborough/Lakeville,3486
2021-10-20,Needham,2654
2021-10-20,Newburyport/Rockport,11168
2021-10-20,Providence/Stoughton,11363
2021-10-21,Fairmount,1517
2021-10-21,Fitchburg,3372
2021-10-21,Framingham/Worcester,5613
2021-10-21,Franklin/Foxboro,2813
2021-10-21,Greenbush,1807
2021-10-21,Haverhill,3132
2021-10-21,Kingston,2103
2021-10-21,Lowell,4722
2021-10-21,Middleborough/Lakeville,2930
2021-10-21,Needham,2667
2021-10-21,Newburyport/Rockport,10470
2021-10-21,Providence/Stoughton,9642
2021-10-22,Fairmount,1630
2021-10-22,Fitchburg,3200
2021-10-22,Framingham/Worcester,5578
2021-10-22,Franklin/Foxboro,3775
2021-10-22,Greenbush,1631
2021-10-22,Haverhill,2482
2021-10-22,Kingston,1684
2021-10-22,Lowell,4199
2021-10-22,Middleborough/Lakeville,2769
2021-10-22,Needham,2392
2021-10-22,Newburyport/Rockport,12449
2021-10-22,Providence/Stoughton,9625
2021-10-23,Fairmount,516
2021-10-23,Fitchburg,1351
2021-10-23,Framingham/Worcester,4307
2021-10-23,Franklin/Foxboro,1248
2021-10-23,Greenbush,595
2021-10-23,Haverhill,1983
2021-10-23,Kingston,480
2021-10-23,Lowell,1476
2021-10-23,Middleborough/Lakeville,1133
2021-10-23,Needham,420
2021-10-23,Newburyport/Rockport,21233
2021-10-23,Providence/Stoughton,4398
2021-10-24,Fairmount,431
2021-10-24,Fitchburg,1575
2021-10-24,Framingham/Worcester,2927
2021-10-24,Franklin/Foxboro,853
2021-10-24,Greenbush,512
2021-10-24,Haverhill,1638
2021-10-24,Kingston,398
2021-10-24,Lowell,1786
2021-10-24,Middleborough/Lakeville,872
2021-10-24,Needham,318
2021-10-24,Newburyport/Rockport,14246
2021-10-24,Providence/Stoughton,4087
2021-10-25,Fairmount,1607
2021-10-25,Fitchburg,3939
2021-10-25,Framingham/Worcester,6099
2021-10-25,Franklin/Foxboro,4158
2021-10-25,Greenbush,1520
2021-10-25,Haverhill,3443
2021-10-25,Kingston,1460
2021-10-25,Lowell,5158
2021-10-25,Middleborough/Lakeville,1959
2021-10-25,Needham,2780
2021-10-25,Newburyport/Rockport,12869
2021-10-25,Providence/Stoughton,10676
2021-10-26,Fairmount,1502
2021-10-26,Fitchburg,2992
2021-10-26,Framingham/Worcester,5415
2021-10-26,Franklin/Foxboro,3718
2021-10-26,Greenbush,1934
2021-10-26,Haverhill,3140
2021-10-26,Kingston,2277
2021-10-26,Lowell,4226
2021-10-26,Middleborough/Lakeville,2223
2021-10-26,Needham,2864
2021-10-26,Newburyport/Rockport,11023
2021-10-26,Providence/Stoughton,10653
2021-10-27,Fairmount,1471
2021-10-27,Fitchburg,3598
2021-10-27,Framingham/Worcester,5596
2021-10-27,Franklin/Foxboro,3602
2021-10-27,Greenbush,1461
2021-10-27,Haverhill,2665
2021-10-27,Kingston,1661
2021-10-27,Lowell,4315
2021-10-27,Middleborough/Lakeville,2015
2021-10-27,Needham,2460
2021-10-27,Newburyport/Rockport,8358
2021-10-27,Providence/Stoughton,9989
2021-10-28,Fairmount,1442
2021-10-28,Fitchburg,3498
2021-10-28,Framingham/Worcester,5034
2021-10-28,Franklin/Foxboro,4213
2021-10-28,Greenbush,1539
2021-10-28,Haverhill,3386
2021-10-28,Kingston,1695
2021-10-28,Lowell,4135
2021-10-28,Middleborough/Lakeville,2329
2021-10-28,Needham,2928
2021-10-28,Newburyport/Rockport,12336
2021-10-28,Providence/Stoughton,11331
2021-10-29,Fairmount,1525
2021-10-29,Fitchburg,3361
2021-10-29,Framingham/Worcester,5259
2021-10-29,Franklin/Foxboro,3882
2021-10-29,Greenbush,1246
2021-10-29,Haverhill,2732
2021-10-29,Kingston,1568
2021-10-29,Lowell,3937
2021-10-29,Middleborough/Lakeville,2465
2021-10-29,Needham,2432
2021-10-29,Newburyport/Rockport,14563
2021-10-29,Providence/Stoughton,10092
2021-10-30,Fairmount,446
2021-10-30,Fitchburg,1398
2021-10-30,Framingham/Worcester,3717
2021-10-30,Franklin/Foxboro,1285
2021-10-30,Greenbush,330
2021-10-30,Haverhill,1332
2021-10-30,Kingston,433
2021-10-30,Lowell,1864
2021-10-30,Middleborough/Lakeville,978
2021-10-30,Needham,386
2021-10-30,Newburyport/Rockport,15497
2021-10-30,Providence/Stoughton,3965
2021-10-31,Fairmount,396
2021-10-31,Fitchburg,1614
2021-10-31,Framingham/Worcester,3218
2021-10-31,Franklin/Foxboro,901
2021-10-31,Greenbush,457
2021-10-31,Haverhill,931
2021-10-31,Kingston,432
2021-10-31,Lowell,1921
2021-10-31,Middleborough/Lakeville,950
2021-10-31,Needham,331
2021-10-31,Newburyport/Rockport,20982
2021-10-31,Providence/Stoughton,3300
2021-11-01,Fairmount,1088
2021-11-01,Fitchburg,3541
2021-11-01,Framingham/Worcester,6285
2021-11-01,Franklin/Foxboro,4612
2021-11-01,Greenbush,1562
2021-11-01,Haverhill,2905
2021-11-01,Kingston,1868
2021-11-01,Lowell,4058
2021-11-01,Middleborough/Lakeville,2520
2021-11-01,Needham,2993
2021-11-01,Newburyport/Rockport,12201
2021-11-01,Providence/Stoughton,10556
2021-11-02,Fairmount,2074
2021-11-02,Fitchburg,3627
2021-11-02,Framingham/Worcester,6087
2021-11-02,Franklin/Foxboro,4719
2021-11-02,Greenbush,1625
2021-11-02,Haverhill,2935
2021-11-02,Kingston,2186
2021-11-02,Lowell,4267
2021-11-02,Middleborough/Lakeville,2947
2021-11-02,Needham,2776
2021-11-02,Newburyport/Rockport,10830
2021-11-02,Providence/Stoughton,11769
2021-11-03,Fairmount,1387
2021-11-03,Fitchburg,3719
2021-11-03,Framingham/Worcester,6400
2021-11-03,Franklin/Foxboro,4980
2021-11-03,Greenbush,1660
2021-11-03,Haverhill,2768
2021-11-03,Kingston,2022
2021-11-03,Lowell,4372
2021-11-03,Middleborough/Lakeville,2557
2021-11-03,Needham,2670
2021-11-03,Newburyport/Rockport,10541
2021-11-03,Providence/Stoughton,11924
2021-11-04,Fairmount,1538
2021-11-04,Fitchburg,3659
2021-11-04,Framingham/Worcester,6486
2021-11-04,Franklin/Foxboro,4403
2021-11-04,Greenbush,1743
2021-11-04,Haverhill,2915
2021-11-04,Kingston,2107
2021-11-04,Lowell,4772
2021-11-04,Middleborough/Lakeville,2205
2021-11-04,Needham,2987
2021-11-04,Newburyport/Rockport,11252
2021-11-04,Providence/Stoughton,12359
2021-11-05,Fairmount,1385
2021-11-05,Fitchburg,3676
2021-11-05,Framingham/Worcester,5811
2021-11-05,Franklin/Foxboro,3736
2021-11-05,Greenbush,1300
2021-11-05,Haverhill,2944
2021-11-05,Kingston,2035
2021-11-05,Lowell,4551
2021-11-05,Middleborough/Lakeville,2647
2021-11-05,Needham,2876
2021-11-05,Newburyport/Rockport,9823
2021-11-05,Providence/Stoughton,10358
2021-11-06,Fairmount,402
2021-11-06,Fitchburg,1194
2021-11-06,Framingham/Worcester,3802
2021-11-06,Franklin/Foxboro,911
2021-11-06,Greenbush,551
2021-11-06,Haverhill,1047
2021-11-06,Kingston,462
2021-11-06,Lowell,1087
2021-11-06,Middleborough/Lakeville,982
2021-11-06,Needham,407
2021-11-06,Newburyport/Rockport,11572
2021-11-06,Providence/Stoughton,4225
2021-11-07,Fairmount,498
2021-11-07,Fitchburg,1319
2021-11-07,Framingham/Worcester,3267
2021-11-07,Franklin/Foxboro,1126
2021-11-07,Greenbush,466
2021-11-07,Haverhill,1448
2021-11-07,Kingston,443
2021-11-07,Lowell,1503
2021-11-07,Middleborough/Lakeville,1336
2021-11-07,Needham,257
2021-11-07,Newburyport/Rockport,9856
2021-11-07,Providence/Stoughton,3964
2021-11-08,Fairmount,1559
2021-11-08,Fitchburg,3992
2021-11-08,Framingham/Worcester,6147
2021-11-08,Franklin/Foxboro,4668
2021-11-08,Greenbush,1804
2021-11-08,Haverhill,2705
2021-11-08,Kingston,2421
2021-11-08,Lowell,6084
2021-11-08,Middleborough/Lakeville,2929
2021-11-08,Needham,2934
2021-11-08,Newburyport/Rockport,10713
2021-11-08,Providence/Stoughton,11343
2021-11-09,Fairmount,1549
2021-11-09,Fitchburg,3814
2021-11-09,Framingham/Worcester,6367
2021-11-09,Franklin/Foxboro,4843
2021-11-09,Greenbush,1798
2021-11-09,Haverhill,2939
2021-11-09,Kingston,2182
2021-11-09,Lowell,4963
2021-11-09,Middleborough/Lakeville,2660
2021-11-09,Needham,3289
2021-11-09,Newburyport/Rockport,9685
2021-11-09,Providence/Stoughton,11298
2021-11-10,Fairmount,1642
2021-11-10,Fitchburg,4007
2021-11-10,Framingham/Worcester,5581
2021-11-10,Franklin/Foxboro,4322
2021-11-10,Greenbush,1846
2021-11-10,Haverhill,2875
2021-11-10,Kingston,2783
2021-11-10,Lowell,6149
2021-11-10,Middleborough/Lakeville,2672
2021-11-10,Needham,3043
2021-11-10,Newburyport/Rockport,9837
2021-11-10,Providence/Stoughton,10995
2021-11-11,Fairmount,1275
2021-11-11,Fitchburg,4062
2021-11-11,Framingham/Worcester,5760
2021-11-11,Franklin/Foxboro,3463
2021-11-11,Greenbush,1237
2021-11-11,Haverhill,3160
2021-11-11,Kingston,2065
2021-11-11,Lowell,5664
2021-11-11,Middleborough/Lakeville,2163
2021-11-11,Needham,2325
2021-11-11,Newburyport/Rockport,11134
2021-11-11,Providence/Stoughton,9554
2021-11-12,Fairmount,1443
2021-11-12,Fitchburg,3793
2021-11-12,Framingham/Worcester,5488
2021-11-12,Franklin/Foxboro,3301
2021-11-12,Greenbush,1300
2021-11-12,Haverhill,2992
2021-11-12,Kingston,1978
2021-11-12,Lowell,5732
2021-11-12,Middleborough/Lakeville,2642
2021-11-12,Needham,2287
2021-11-12,Newburyport/Rockport,11141
2021-11-12,Providence/Stoughton,10403
2021-11-13,Fairmount,531
2021-11-13,Fitchburg,1166
2021-11-13,Framingham/Worcester,3533
2021-11-13,Franklin/Foxboro,1036
2021-11-13,Greenbush,506
2021-11-13,Haverhill,1670
2021-11-13,Kingston,483
2021-11-13,Lowell,1151
2021-11-13,Middleborough/Lakeville,1034
2021-11-13,Needham,399
2021-11-13,Newburyport/Rockport,9435
2021-11-13,Providence/Stoughton,4157
2021-11-14,Fairmount,449
2021-11-14,Fitchburg,1416
2021-11-14,Framingham/Worcester,2170
2021-11-14,Franklin/Foxboro,939
2021-11-14,Greenbush,446
2021-11-14,Haverhill,732
2021-11-14,Kingston,509
2021-11-14,Lowell,1253
2021-11-14,Middleborough/Lakeville,1055
2021-11-14,Needham,279
2021-11-14,Newburyport/Rockport,7348
2021-11-14,Providence/Stoughton,4626
2021-11-15,Fairmount,1756
2021-11-15,Fitchburg,3627
2021-11-15,Framingham/Worcester,5883
2021-11-15,Franklin/Foxboro,4686
2021-11-15,Greenbush,1696
2021-11-15,Haverhill,2901
2021-11-15,Kingston,3017
2021-11-15,Lowell,5172
2021-11-15,Middleborough/Lakeville,2580
2021-11-15,Needham,2959
2021-11-15,Newburyport/Rockport,9976
2021-11-15,Providence/Stoughton,11466
2021-11-16,Fairmount,1582
2021-11-16,Fitchburg,3745
2021-11-16,Framingham/Worcester,6009
2021-11-16,Franklin/Foxboro,4937
2021-11-16,Greenbush,2067
2021-11-16,Haverhill,2731
2021-11-16,Kingston,2544
2021-11-16,Lowell,5044
2021-11-16,Middleborough/Lakeville,3233
2021-11-16,Needham,3128
2021-11-16,Newburyport/Rockport,9482
2021-11-16,Providence/Stoughton,12437
2021-11-17,Fairmount,1627
2021-11-17,Fitchburg,3749
2021-11-17,Framingham/Worcester,6513
2021-11-17,Franklin/Foxboro,4761
2021-11-17,Greenbush,1947
2021-11-17,Haverhill,3794
2021-11-17,Kingston,2554
2021-11-17,Lowell,5878
2021-11-17,Middleborough/Lakeville,2673
2021-11-17,Needham,3086
2021-11-17,Newburyport/Rockport,10966
2021-11-17,Providence/Stoughton,12116
2021-11-18,Fairmount,1696
2021-11-18,Fitchburg,4233
2021-11-18,Framingham/Worcester,5389
2021-11-18,Franklin/Foxboro,4196
2021-11-18,Greenbush,2154
2021-11-18,Haverhill,4103
2021-11-18,Kingston,2253
2021-11-18,Lowell,5823
2021-11-18,Middleborough/Lakeville,2907
2021-11-18,Needham,2773
2021-11-18,Newburyport/Rockport,11358
2021-11-18,Providence/Stoughton,12728
2021-11-19,Fairmount,1490
2021-11-19,Fitchburg,3997
2021-11-19,Framingham/Worcester,4803
2021-11-19,Franklin/Foxboro,3467
2021-11-19,Greenbush,1927
2021-11-19,Haverhill,2903
2021-11-19,Kingston,2194
2021-11-19,Lowell,6032
2021-11-19,Middleborough/Lakeville,2597
2021-11-19,Needham,2610
2021-11-19,Newburyport/Rockport,10959
2021-11-19,Providence/Stoughton,12051
2021-11-20,Fairmount,417
2021-11-20,Fitchburg,1431
2021-11-20,Framingham/Worcester,2597
2021-11-20,Franklin/Foxboro,870
2021-11-20,Greenbush,552
2021-11-20,Haverhill,1346
2021-11-20,Kingston,476
2021-11-20,Lowell,1047
2021-11-20,Middleborough/Lakeville,1103
2021-11-20,Needham,369
2021-11-20,Newburyport/Rockport,6362
2021-11-20,Providence/Stoughton,4145
2021-11-21,Fairmount,337
2021-11-21,Fitchburg,851
2021-11-21,Framingham/Worcester,1902
2021-11-21,Franklin/Foxboro,849
2021-11-21,Greenbush,429
2021-11-21,Haverhill,1421
2021-11-21,Kingston,510
2021-11-21,Lowell,1037
2021-11-21,Middleborough/Lakeville,1405
2021-11-21,Needham,279
2021-11-21,Newburyport/Rockport,4851
2021-11-21,Providence/Stoughton,3740
2021-11-22,Fairmount,1633
2021-11-22,Fitchburg,3546
2021-11-22,Framingham/Worcester,5199
2021-11-22,Franklin/Foxboro,3560
2021-11-22,Greenbush,1291
2021-11-22,Haverhill,2762
2021-11-22,Kingston,1859
2021-11-22,Lowell,5655
2021-11-22,Middleborough/Lakeville,2707
2021-11-22,Needham,2898
2021-11-22,Newburyport/Rockport,9673
2021-11-22,Providence/Stoughton,11489
2021-11-23,Fairmount,1579
2021-11-23,Fitchburg,3170
2021-11-23,Framingham/Worcester,5635
2021-11-23,Franklin/Foxboro,3067
2021-11-23,Greenbush,1438
2021-11-23,Haverhill,3009
2021-11-23,Kingston,2032
2021-11-23,Lowell,5095
2021-11-23,Middleborough/Lakeville,2616
2021-11-23,Needham,2720
2021-11-23,Newburyport/Rockport,10493
2021-11-23,Providence/Stoughton,12127
2021-11-24,Fairmount,1929
2021-11-24,Fitchburg,1585
2021-11-24,Framingham/Worcester,5876
2021-11-24,Franklin/Foxboro,2663
2021-11-24,Greenbush,1203
2021-11-24,Haverhill,3135
2021-11-24,Kingston,1882
2021-11-24,Lowell,4595
2021-11-24,Middleborough/Lakeville,2873
2021-11-24,Needham,1528
2021-11-24,Newburyport/Rockport,6628
2021-11-24,Providence/Stoughton,11389
2021-11-25,Fairmount,414
2021-11-25,Fitchburg,1182
2021-11-25,Framingham/Worcester,1825
2021-11-25,Franklin/Foxboro,961
2021-11-25,Greenbush,293
2021-11-25,Haverhill,1311
2021-11-25,Kingston,464
2021-11-25,Lowell,1725
2021-11-25,Middleborough/Lakeville,2853
2021-11-25,Needham,210
2021-11-25,Newburyport/Rockport,4327
2021-11-25,Providence/Stoughton,2814
2021-11-26,Fairmount,980
2021-11-26,Fitchburg,2593
2021-11-26,Framingham/Worcester,3380
2021-11-26,Franklin/Foxboro,2163
2021-11-26,Greenbush,709
2021-11-26,Haverhill,1817
2021-11-26,Kingston,1350
2021-11-26,Lowell,3634
2021-11-26,Middleborough/Lakeville,1916
2021-11-26,Needham,960
2021-11-26,Newburyport/Rockport,7200
2021-11-26,Providence/Stoughton,7461
2021-11-27,Fairmount,404
2021-11-27,Fitchburg,1370
2021-11-27,Framingham/Worcester,3021
2021-11-27,Franklin/Foxboro,672
2021-11-27,Greenbush,534
2021-11-27,Haverhill,1228
2021-11-27,Kingston,457
2021-11-27,Lowell,1272
2021-11-27,Middleborough/Lakeville,798
2021-11-27,Needham,410
2021-11-27,Newburyport/Rockport,5879
2021-11-27,Providence/Stoughton,3818
2021-11-28,Fairmount,373
2021-11-28,Fitchburg,1235
2021-11-28,Framingham/Worcester,2499
2021-11-28,Franklin/Foxboro,671
2021-11-28,Greenbush,426
2021-11-28,Haverhill,1371
2021-11-28,Kingston,468
2021-11-28,Lowell,1744
2021-11-28,Middleborough/Lakeville,3127
2021-11-28,Needham,210
2021-11-28,Newburyport/Rockport,4187
2021-11-28,Providence/Stoughton,3348
2021-11-29,Fairmount,1898
2021-11-29,Fitchburg,3773
2021-11-29,Framingham/Worcester,5809
2021-11-29,Franklin/Foxboro,4201
2021-11-29,Greenbush,1788
2021-11-29,Haverhill,2733
2021-11-29,Kingston,2506
2021-11-29,Lowell,4726
2021-11-29,Middleborough/Lakeville,2367
2021-11-29,Needham,2984
2021-11-29,Newburyport/Rockport,7489
2021-11-29,Providence/Stoughton,11163
2021-11-30,Fairmount,1653
2021-11-30,Fitchburg,3403
2021-11-30,Framingham/Worcester,5506
2021-11-30,Franklin/Foxboro,4907
2021-11-30,Greenbush,1702
2021-11-30,Haverhill,2692
2021-11-30,Kingston,2614
2021-11-30,Lowell,3539
2021-11-30,Middleborough/Lakeville,2808
2021-11-30,Needham,2982
2021-11-30,Newburyport/Rockport,8448
2021-11-30,Providence/Stoughton,13367
2021-12-01,Fairmount,1589
2021-12-01,Fitchburg,3406
2021-12-01,Framingham/Worcester,5080
2021-12-01,Franklin/Foxboro,4768
2021-12-01,Greenbush,1716
2021-12-01,Haverhill,2664
2021-12-01,Kingston,2280
2021-12-01,Lowell,3544
2021-12-01,Middleborough/Lakeville,2995
2021-12-01,Needham,2282
2021-12-01,Newburyport/Rockport,7608
2021-12-01,Providence/Stoughton,11076
2021-12-02,Fairmount,1722
2021-12-02,Fitchburg,3603
2021-12-02,Framingham/Worcester,6738
2021-12-02,Franklin/Foxboro,4578
2021-12-02,Greenbush,1902
2021-12-02,Haverhill,3011
2021-12-02,Kingston,2984
2021-12-02,Lowell,4711
2021-12-02,Middleborough/Lakeville,3090
2021-12-02,Needham,3135
2021-12-02,Newburyport/Rockport,8757
2021-12-02,Providence/Stoughton,11591
2021-12-03,Fairmount,1633
2021-12-03,Fitchburg,3192
2021-12-03,Framingham/Worcester,6152
2021-12-03,Franklin/Foxboro,3924
2021-12-03,Greenbush,1595
2021-12-03,Haverhill,3017
2021-12-03,Kingston,2593
2021-12-03,Lowell,4281
2021-12-03,Middleborough/Lakeville,3225
2021-12-03,Needham,2611
2021-12-03,Newburyport/Rockport,8408
2021-12-03,Providence/Stoughton,11011
2021-12-04,Fairmount,438
2021-12-04,Fitchburg,1370
2021-12-04,Framingham/Worcester,2744
2021-12-04,Franklin/Foxboro,895
2021-12-04,Greenbush,502
2021-12-04,Haverhill,1214
2021-12-04,Kingston,569
2021-12-04,Lowell,1266
2021-12-04,Middleborough/Lakeville,1048
2021-12-04,Needham,414
2021-12-04,Newburyport/Rockport,6023
2021-12-04,Providence/Stoughton,4531
2021-12-05,Fairmount,382
2021-12-05,Fitchburg,1225
2021-12-05,Framingham/Worcester,1269
2021-12-05,Franklin/Foxboro,657
2021-12-05,Greenbush,437
2021-12-05,Haverhill,1378
2021-12-05,Kingston,645
2021-12-05,Lowell,1356
2021-12-05,Middleborough/Lakeville,951
2021-12-05,Needham,193
2021-12-05,Newburyport/Rockport,3840
2021-12-05,Providence/Stoughton,3023
2021-12-06,Fairmount,1901
2021-12-06,Fitchburg,3512
2021-12-06,Framingham/Worcester,6287
2021-12-06,Franklin/Foxboro,4343
2021-12-06,Greenbush,1828
2021-12-06,Haverhill,2820
2021-12-06,Kingston,2691
2021-12-06,Lowell,3924
2021-12-06,Middleborough/Lakeville,3590
2021-12-06,Needham,3281
2021-12-06,Newburyport/Rockport,7920
2021-12-06,Providence/Stoughton,12095
2021-12-07,Fairmount,1715
2021-12-07,Fitchburg,3736
2021-12-07,Framingham/Worcester,6310
2021-12-07,Franklin/Foxboro,4557
2021-12-07,Greenbush,1658
2021-12-07,Haverhill,2967
2021-12-07,Kingston,2737
2021-12-07,Lowell,5025
2021-12-07,Middleborough/Lakeville,3439
2021-12-07,Needham,3314
2021-12-07,Newburyport/Rockport,7522
2021-12-07,Providence/Stoughton,12901
2021-12-08,Fairmount,1566
2021-12-08,Fitchburg,3276
2021-12-08,Framingham/Worcester,5742
2021-12-08,Franklin/Foxboro,4123
2021-12-08,Greenbush,1901
2021-12-08,Haverhill,2905
2021-12-08,Kingston,2617
2021-12-08,Lowell,3121
2021-12-08,Middleborough/Lakeville,3362
2021-12-08,Needham,3194
2021-12-08,Newburyport/Rockport,6429
2021-12-08,Providence/Stoughton,12667
2021-12-09,Fairmount,1683
2021-12-09,Fitchburg,3484
2021-12-09,Framingham/Worcester,6867
2021-12-09,Franklin/Foxboro,4470
2021-12-09,Greenbush,1811
2021-12-09,Haverhill,2828
2021-12-09,Kingston,2722
2021-12-09,Lowell,3787
2021-12-09,Middleborough/Lakeville,3183
2021-12-09,Needham,3147
2021-12-09,Newburyport/Rockport,8227
2021-12-09,Providence/Stoughton,12115
2021-12-10,Fairmount,1621
2021-12-10,Fitchburg,3512
2021-12-10,Framingham/Worcester,6152
2021-12-10,Franklin/Foxboro,3890
2021-12-10,Greenbush,1550
2021-12-10,Haverhill,2415
2021-12-10,Kingston,2003
2021-12-10,Lowell,4034
2021-12-10,Middleborough/Lakeville,3376
2021-12-10,Needham,2484
